Language,Wiki,Total_Pages,Articles,Non_Articles,Edits,Admins,Users,Active_Users,Depth,Depth_simple,Depth+,Depth+_simple
Alemannic German,als,71823,29805,42018,1033241,9,98045,90,28.591081982690557,28.591081982690557,0.1675497978871231,0.16754979788712313
Lithuanian,lt,517050,210672,306378,6960941,10,175875,352,28.47324253711112,28.473242537111123,0.39185439480843887,0.3918543948084389
Pashto,ps,60026,17665,42361,296690,1,30257,45,28.42291581216176,28.42291581216176,0.017627986742021626,0.017627986742021626
Norman,nrm,10414,4848,5566,219638,2,12941,17,27.80040281924106,27.800402819241054,0.06361822939169127,0.06361822939169127
Bulgarian,bg,652328,291458,360870,11791788,25,326230,733,27.711704588222393,27.71170458822239,1.257212031982844,1.257212031982844
Kashmiri,ks,12417,4034,8383,79565,2,10198,19,27.671489092152296,27.671489092152285,0.04961780491835098,0.04961780491835098
Kapampangan,pam,21526,8909,12617,296499,2,20297,22,27.625756865890708,27.625756865890708,0.042287096412214155,0.04228709641221416
Extremaduran,ext,8147,3488,4659,124485,2,16872,24,27.26162727150101,27.26162727150101,0.058064436029682684,0.05806443602968269
Seediq,trv,2004,1137,867,93219,1,1569,19,27.04730436162644,27.047304361626438,0.4295324831854022,0.42953248318540227
Uyghur,ug,15415,5867,9548,157415,1,21101,23,27.04551333111981,27.045513331119807,0.018114389645246195,0.01811438964524619
Hawaiian,haw,5619,2500,3119,97420,1,16246,22,26.986081355970818,26.986081355970814,0.029291437878163372,0.029291437878163372
Inari Sámi,smn,16814,5097,11717,84323,7,3202,21,26.501996899490123,26.50199689949012,0.5292645544227065,0.5292645544227064
Walloon,wa,27936,11792,16144,394923,4,23444,24,26.49693022883893,26.49693022883893,0.0792522141010217,0.0792522141010217
Upper Sorbian,hsb,35531,13896,21635,381144,4,24137,26,26.002544304167063,26.002544304167056,0.07196126676065236,0.07196126676065234
Kongo (Kituba),kg,2943,1277,1666,44120,1,10560,12,25.51604981092314,25.51604981092314,0.022225250742489395,0.022225250742489395
Luxembourgish,lb,134621,61773,72848,2449873,6,58080,73,25.308630098608262,25.30863009860826,0.16184422284708658,0.16184422284708655
Tongan,to,5418,1964,3454,42661,2,9945,12,24.35307073649746,24.353070736497465,0.033417913819450654,0.033417913819450654
Lhasa Tibetan,bo,18197,6582,11615,141491,1,28187,25,24.213172345870188,24.213172345870195,0.012169745896858231,0.012169745896858233
Belarusian,be,668957,231692,437265,4501219,10,130261,251,23.966206493409498,23.966206493409494,0.24469490827775664,0.24469490827775667
Bislama,bi,3334,1411,1923,42512,1,12745,9,23.683750786214112,23.68375078621411,0.012271591267083338,0.012271591267083336
Bashkir,ba,177139,62953,114186,1241384,7,38069,90,23.05604504979203,23.05604504979203,0.2103572400242338,0.2103572400242338
Karakalpak,kaa,9635,3325,6310,61595,5,11354,41,23.023384146011427,23.023384146011423,0.21904655198800388,0.2190465519880039
Quechua (Southern Quechua),qu,57069,23707,33362,657395,2,28593,44,22.812721081261174,22.812721081261177,0.049891270113792116,0.049891270113792116
Tuvan,tyv,11883,3441,8442,44619,1,8709,38,22.600345890728416,22.600345890728413,0.04019478563064835,0.04019478563064835
Mirandese,mwl,10574,4156,6418,100173,1,12799,22,22.59226231811686,22.592262318116862,0.02514676885605644,0.02514676885605644
Slovak,sk,559212,244886,314326,7565032,10,234981,609,22.287788817467444,22.287788817467447,0.4500234870993457,0.45002348709934575
Maithili,mai,40574,13755,26819,234202,5,12914,26,21.943542783322712,21.943542783322712,0.11329410955573284,0.11329410955573281
Estonian,et,560227,236731,323496,6405588,34,179682,699,21.351211910881595,21.3512119108816,2.0666182886461684,2.066618288646169
Central Bikol,bcl,38596,13743,24853,249518,2,21484,40,21.14239242943888,21.142392429438875,0.043534313419249036,0.04353431341924903
Punjabi,pa,160036,50085,109951,686142,10,45686,125,20.662331605340302,20.6623316053403,0.2575222150614637,0.2575222150614638
Javanese,jv,182217,72513,109704,1631239,5,57686,96,20.48999647777368,20.48999647777368,0.11269537825456045,0.11269537825456045
Malay,ms,1060452,365157,695295,5850087,16,314649,625,20.000933276759078,20.000933276759074,0.3338369695178748,0.3338369695178748
Gagauz,gag,6609,2803,3806,68339,1,13569,23,19.064448218194872,19.06444821819488,0.023798991143005703,0.023798991143005706
Guarani,gn,12541,5275,7266,125641,2,17699,36,19.008378695195812,19.00837869519581,0.05613786777345932,0.05613786777345932
Scottish Gaelic,gd,32222,15932,16290,572956,5,26982,29,18.5896131223784,18.5896131223784,0.09770424413295112,0.09770424413295115
Twi,tw,6521,3184,3337,110273,2,14922,62,18.57467761340475,18.57467761340475,0.14727627347380706,0.14727627347380706
Dutch,nl,4537974,2123858,2414116,64251421,35,1279901,3947,18.293046959826164,18.29304695982616,1.7370494573437671,1.7370494573437674
Ligurian,lij,26862,11134,15728,240370,7,15470,24,17.856094913137717,17.85609491313772,0.13727238214548365,0.13727238214548365
Croatian,hr,451609,215296,236313,6637839,12,294771,587,17.70791510179148,17.70791510179148,0.385523069553535,0.385523069553535
Meadow Mari,mhr,28496,10912,17584,190035,1,13860,26,17.31714640416706,17.31714640416706,0.020159192341896174,0.020159192341896174
Sardinian,sc,16747,7401,9346,180068,4,23412,33,17.146293978317328,17.146293978317328,0.07655442676127898,0.07655442676127897
Swedish,sv,6174454,2564463,3609991,52948162,67,868323,2140,16.993063994457707,16.993063994457707,1.993284467488475,1.993284467488475
Sicilian,scn,55884,26244,29640,735952,3,43199,45,16.798029759525424,16.798029759525427,0.04648044218626559,0.0464804421862656
Papiamento,pap,6616,3222,3394,99461,5,14168,17,16.68130137418629,16.68130137418629,0.09500664987879262,0.09500664987879262
Esperanto,eo,751233,337631,413602,8112578,16,210161,343,16.205590419940936,16.205590419940936,0.34545105209160637,0.34545105209160626
Cornish,kw,14363,7016,7347,211402,2,14741,30,16.140049049120552,16.140049049120552,0.06273482558396833,0.06273482558396834
Norwegian (Nynorsk),nn,380213,165625,214588,3477544,14,128202,149,15.35340666981475,15.353406669814753,0.1928167312903468,0.19281673129034677
